time_s,stage,pressure,volume,displacement,transducers,cell_pressure,back_pressure,pore_pressure,axial_displacement,cell_volume,back_volume
0.98,Saturation,,,,"[-0.252, -1.773, -7.566, -0.128, -0.118, -0.119, -0.001, -0.001]",-1.773,-7.566,-0.252,-0.128,-0.118,-0.119
1.99,Saturation,,,,"[-0.252, -1.773, -7.566, -0.13, -0.119, -0.113, -0.001, -0.001]",-1.773,-7.566,-0.252,-0.13,-0.119,-0.113
2.98,Saturation,,,,"[-0.254, -1.773, -7.566, -0.125, -0.108, -0.111, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.125,-0.108,-0.111
3.99,Saturation,,,,"[-0.252, -1.773, -7.564, -0.123, -0.109, -0.11, -0.001, -0.001]",-1.773,-7.564,-0.252,-0.123,-0.109,-0.11
4.99,Saturation,,,,"[-0.254, -1.985, -7.566, -0.125, -0.116, -0.116, -0.001, -0.001]",-1.985,-7.566,-0.254,-0.125,-0.116,-0.116
5.98,Saturation,,,,"[-0.254, -1.985, -7.566, -0.131, -0.119, -0.112, -0.001, -0.001]",-1.985,-7.566,-0.254,-0.131,-0.119,-0.112
6.98,Saturation,,,,"[-0.254, -1.985, -7.564, -0.137, -0.12, -0.114, -0.001, -0.001]",-1.985,-7.564,-0.254,-0.137,-0.12,-0.114
7.99,Saturation,,,,"[-0.254, -1.985, -7.566, -0.142, -0.124, -0.112, -0.001, -0.001]",-1.985,-7.566,-0.254,-0.142,-0.124,-0.112
8.99,Saturation,,,,"[-0.254, -1.985, -7.564, -0.136, -0.127, -0.117, -0.001, -0.001]",-1.985,-7.564,-0.254,-0.136,-0.127,-0.117
10.0,Saturation,,,,"[-0.254, -1.985, -7.566, -0.138, -0.12, -0.114, -0.001, -0.001]",-1.985,-7.566,-0.254,-0.138,-0.12,-0.114
10.99,Saturation,,,,"[-0.254, -1.773, -7.564, -0.144, -0.121, -0.113, -0.001, -0.001]",-1.773,-7.564,-0.254,-0.144,-0.121,-0.113
11.98,Saturation,,,,"[-0.254, -1.985, -7.566, -0.127, -0.116, -0.112, -0.001, -0.001]",-1.985,-7.566,-0.254,-0.127,-0.116,-0.112
12.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.126, -0.115, -0.112, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.126,-0.115,-0.112
13.98,Saturation,,,,"[-0.254, -1.985, -7.564, -0.124, -0.103, -0.101, -0.001, -0.001]",-1.985,-7.564,-0.254,-0.124,-0.103,-0.101
14.99,Saturation,,,,"[-0.252, -1.985, -7.566, -0.125, -0.108, -0.103, -0.001, -0.001]",-1.985,-7.566,-0.252,-0.125,-0.108,-0.103
15.98,Saturation,,,,"[-0.254, -1.985, -7.566, -0.115, -0.101, -0.094, -0.001, -0.001]",-1.985,-7.566,-0.254,-0.115,-0.101,-0.094
16.99,Saturation,,,,"[-0.254, -1.985, -7.564, -0.11, -0.105, -0.093, -0.001, -0.001]",-1.985,-7.564,-0.254,-0.11,-0.105,-0.093
17.99,Saturation,,,,"[-0.254, -1.985, -7.564, -0.107, -0.095, -0.09, -0.001, -0.001]",-1.985,-7.564,-0.254,-0.107,-0.095,-0.09
18.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.12, -0.105, -0.099, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.12,-0.105,-0.099
19.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.1, -0.088, -0.092, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.1,-0.088,-0.092
20.98,Saturation,,,,"[-0.254, -1.985, -7.566, -0.11, -0.101, -0.094, -0.001, -0.001]",-1.985,-7.566,-0.254,-0.11,-0.101,-0.094
21.99,Saturation,,,,"[-0.252, -1.985, -7.566, -0.102, -0.079, -0.079, -0.001, -0.001]",-1.985,-7.566,-0.252,-0.102,-0.079,-0.079
22.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.098, -0.09, -0.086, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.098,-0.09,-0.086
23.99,Saturation,,,,"[-0.252, -1.985, -7.566, -0.119, -0.101, -0.095, -0.001, -0.001]",-1.985,-7.566,-0.252,-0.119,-0.101,-0.095
24.99,Saturation,,,,"[-0.252, -1.773, -7.566, -0.124, -0.111, -0.108, -0.001, -0.001]",-1.773,-7.566,-0.252,-0.124,-0.111,-0.108
25.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.122, -0.11, -0.108, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.122,-0.11,-0.108
26.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.117, -0.103, -0.101, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.117,-0.103,-0.101
27.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.114, -0.102, -0.099, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.114,-0.102,-0.099
28.99,Saturation,,,,"[-0.254, -1.773, -7.564, -0.122, -0.111, -0.111, -0.001, -0.001]",-1.773,-7.564,-0.254,-0.122,-0.111,-0.111
29.98,Saturation,,,,"[-0.252, -1.773, -7.566, -0.131, -0.112, -0.116, -0.001, -0.001]",-1.773,-7.566,-0.252,-0.131,-0.112,-0.116
30.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.136, -0.122, -0.114, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.136,-0.122,-0.114
31.99,Saturation,,,,"[-0.254, -1.773, -7.564, -0.141, -0.123, -0.125, -0.001, -0.001]",-1.773,-7.564,-0.254,-0.141,-0.123,-0.125
33.01,Saturation,,,,"[-0.254, -1.773, -7.564, -0.138, -0.121, -0.117, -0.001, -0.001]",-1.773,-7.564,-0.254,-0.138,-0.121,-0.117
34.01,Saturation,,,,"[-0.254, -1.773, -7.566, -0.141, -0.122, -0.12, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.141,-0.122,-0.12
35.01,Saturation,,,,"[-0.252, -1.773, -7.566, -0.147, -0.136, -0.134, -0.001, -0.001]",-1.773,-7.566,-0.252,-0.147,-0.136,-0.134
36.01,Saturation,,,,"[-0.254, -1.773, -7.564, -0.141, -0.121, -0.118, -0.001, -0.001]",-1.773,-7.564,-0.254,-0.141,-0.121,-0.118
37.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.146, -0.126, -0.119, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.146,-0.126,-0.119
38.03,Saturation,,,,"[-0.252, -1.773, -7.566, -0.136, -0.117, -0.119, -0.001, -0.001]",-1.773,-7.566,-0.252,-0.136,-0.117,-0.119
39.03,Saturation,,,,"[-0.254, -1.773, -7.564, -0.13, -0.114, -0.116, -0.001, -0.001]",-1.773,-7.564,-0.254,-0.13,-0.114,-0.116
40.03,Saturation,,,,"[-0.252, -1.773, -7.564, -0.144, -0.128, -0.134, -0.001, -0.001]",-1.773,-7.564,-0.252,-0.144,-0.128,-0.134
41.03,Saturation,,,,"[-0.254, -1.773, -7.564, -0.139, -0.128, -0.125, -0.001, -0.001]",-1.773,-7.564,-0.254,-0.139,-0.128,-0.125
42.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.147, -0.131, -0.124, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.147,-0.131,-0.124
43.05,Saturation,,,,"[-0.254, -1.773, -7.566, -0.159, -0.14, -0.139, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.159,-0.14,-0.139
44.06,Saturation,,,,"[-0.254, -1.773, -7.566, -0.15, -0.136, -0.133, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.15,-0.136,-0.133
45.06,Saturation,,,,"[-0.252, -1.773, -7.566, -0.161, -0.144, -0.141, -0.001, -0.001]",-1.773,-7.566,-0.252,-0.161,-0.144,-0.141
46.06,Saturation,,,,"[-0.254, -1.773, -7.566, -0.149, -0.138, -0.133, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.149,-0.138,-0.133
47.06,Saturation,,,,"[-0.254, -1.773, -7.564, -0.141, -0.134, -0.136, -0.001, -0.001]",-1.773,-7.564,-0.254,-0.141,-0.134,-0.136
48.06,Saturation,,,,"[-0.254, -1.773, -7.564, -0.146, -0.137, -0.139, -0.001, -0.001]",-1.773,-7.564,-0.254,-0.146,-0.137,-0.139
49.06,Saturation,,,,"[-0.254, -1.773, -7.566, -0.157, -0.141, -0.133, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.157,-0.141,-0.133
50.06,Saturation,,,,"[-0.254, -1.773, -7.566, -0.148, -0.135, -0.131, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.148,-0.135,-0.131
51.06,Saturation,,,,"[-0.254, -1.773, -7.566, -0.144, -0.133, -0.131, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.144,-0.133,-0.131
52.06,Saturation,,,,"[-0.254, -1.773, -7.566, -0.146, -0.124, -0.118, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.146,-0.124,-0.118
53.06,Saturation,,,,"[-0.254, -1.773, -7.566, -0.135, -0.111, -0.115, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.135,-0.111,-0.115
54.06,Saturation,,,,"[-0.252, -1.773, -7.566, -0.145, -0.122, -0.117, -0.001, -0.001]",-1.773,-7.566,-0.252,-0.145,-0.122,-0.117
55.06,Saturation,,,,"[-0.254, -1.773, -7.566, -0.155, -0.139, -0.132, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.155,-0.139,-0.132
56.06,Saturation,,,,"[-0.252, -1.773, -7.566, -0.157, -0.138, -0.133, -0.001, -0.001]",-1.773,-7.566,-0.252,-0.157,-0.138,-0.133
57.06,Saturation,,,,"[-0.254, -1.773, -7.566, -0.155, -0.139, -0.136, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.155,-0.139,-0.136
58.06,Saturation,,,,"[-0.252, -1.773, -7.566, -0.147, -0.132, -0.129, -0.001, -0.001]",-1.773,-7.566,-0.252,-0.147,-0.132,-0.129
59.06,Saturation,,,,"[-0.254, -1.773, -7.566, -0.146, -0.132, -0.129, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.146,-0.132,-0.129
60.06,Saturation,,,,"[-0.254, -1.773, -7.566, -0.156, -0.143, -0.138, -0.001, -0.001]",-1.773,-7.566,-0.254,-0.156,-0.143,-0.138
