time_s,stage,pressure,volume,displacement,transducers,cell_pressure,back_pressure,pore_pressure,axial_displacement,cell_volume,back_volume,axial_load,local_axial_1_mv,local_axial_2_mv,local_radial_mv
1.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.149, -0.134, -0.128, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.149,-0.134,-0.128
2.0,Saturation,,,,"[-0.252, -1.773, -7.566, -0.141, -0.125, -0.124, -0.001, -0.001]",,,-1.773,-7.566,,,-0.252,-0.141,-0.125,-0.124
3.0,Saturation,,,,"[-0.254, -1.985, -7.564, -0.141, -0.116, -0.123, -0.001, -0.001]",,,-1.985,-7.564,,,-0.254,-0.141,-0.116,-0.123
4.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.134, -0.125, -0.125, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.134,-0.125,-0.125
5.01,Saturation,,,,"[-0.254, -1.773, -7.564, -0.143, -0.133, -0.128, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.143,-0.133,-0.128
6.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.163, -0.134, -0.143, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.163,-0.134,-0.143
7.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.156, -0.138, -0.133, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.156,-0.138,-0.133
8.0,Saturation,,,,"[-0.254, -1.773, -7.564, -0.158, -0.145, -0.142, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.158,-0.145,-0.142
9.01,Saturation,,,,"[-0.254, -1.985, -7.566, -0.165, -0.149, -0.145, -0.001, -0.001]",,,-1.985,-7.566,,,-0.254,-0.165,-0.149,-0.145
10.01,Saturation,,,,"[-0.254, -1.773, -7.564, -0.164, -0.15, -0.15, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.164,-0.15,-0.15
10.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.168, -0.153, -0.148, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.168,-0.153,-0.148
12.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.157, -0.145, -0.143, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.157,-0.145,-0.143
13.0,Saturation,,,,"[-0.254, -1.773, -7.564, -0.158, -0.139, -0.143, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.158,-0.139,-0.143
14.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.159, -0.146, -0.142, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.159,-0.146,-0.142
15.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.143, -0.132, -0.132, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.143,-0.132,-0.132
16.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.156, -0.133, -0.129, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.156,-0.133,-0.129
17.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.147, -0.132, -0.149, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.147,-0.132,-0.149
18.0,Saturation,,,,"[-0.254, -1.773, -7.564, -0.155, -0.138, -0.137, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.155,-0.138,-0.137
19.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.145, -0.126, -0.122, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.145,-0.126,-0.122
20.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.149, -0.139, -0.141, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.149,-0.139,-0.141
21.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.151, -0.141, -0.146, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.151,-0.141,-0.146
22.0,Saturation,,,,"[-0.254, -1.773, -7.564, -0.157, -0.143, -0.139, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.157,-0.143,-0.139
23.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.15, -0.141, -0.142, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.15,-0.141,-0.142
24.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.161, -0.147, -0.149, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.161,-0.147,-0.149
25.0,Saturation,,,,"[-0.254, -1.985, -7.566, -0.158, -0.139, -0.136, -0.001, -0.001]",,,-1.985,-7.566,,,-0.254,-0.158,-0.139,-0.136
26.0,Saturation,,,,"[-0.252, -1.985, -7.566, -0.157, -0.139, -0.134, -0.001, -0.001]",,,-1.985,-7.566,,,-0.252,-0.157,-0.139,-0.134
27.0,Saturation,,,,"[-0.254, -1.773, -7.564, -0.142, -0.128, -0.13, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.142,-0.128,-0.13
28.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.138, -0.123, -0.124, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.138,-0.123,-0.124
29.0,Saturation,,,,"[-0.254, -1.985, -7.566, -0.15, -0.136, -0.142, -0.001, -0.001]",,,-1.985,-7.566,,,-0.254,-0.15,-0.136,-0.142
30.0,Saturation,,,,"[-0.254, -1.985, -7.566, -0.145, -0.128, -0.126, -0.001, -0.001]",,,-1.985,-7.566,,,-0.254,-0.145,-0.128,-0.126
31.0,Saturation,,,,"[-0.254, -1.985, -7.566, -0.128, -0.111, -0.112, -0.001, -0.001]",,,-1.985,-7.566,,,-0.254,-0.128,-0.111,-0.112
32.0,Saturation,,,,"[-0.254, -1.985, -7.566, -0.141, -0.125, -0.121, -0.001, -0.001]",,,-1.985,-7.566,,,-0.254,-0.141,-0.125,-0.121
