time_s,stage,pressure,volume,displacement,transducers,cell_pressure,back_pressure,pore_pressure,axial_displacement,cell_volume,back_volume,axial_load,local_axial_1_mv,local_axial_2_mv,local_radial_mv
1.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.149, -0.142, -0.134, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.149,-0.142,-0.134
2.0,Saturation,,,,"[-0.252, -1.985, -7.566, -0.148, -0.144, -0.142, -0.001, -0.001]",,,-1.985,-7.566,,,-0.252,-0.148,-0.144,-0.142
3.0,Saturation,,,,"[-0.254, -1.985, -7.566, -0.158, -0.145, -0.145, -0.001, -0.001]",,,-1.985,-7.566,,,-0.254,-0.158,-0.145,-0.145
3.99,Saturation,,,,"[-0.254, -1.985, -7.564, -0.154, -0.142, -0.138, -0.001, -0.001]",,,-1.985,-7.564,,,-0.254,-0.154,-0.142,-0.138
5.0,Saturation,,,,"[-0.252, -1.773, -7.564, -0.141, -0.125, -0.122, -0.001, -0.001]",,,-1.773,-7.564,,,-0.252,-0.141,-0.125,-0.122
6.0,Saturation,,,,"[-0.254, -1.773, -7.564, -0.153, -0.139, -0.14, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.153,-0.139,-0.14
7.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.143, -0.138, -0.128, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.143,-0.138,-0.128
7.99,Saturation,,,,"[-0.252, -1.773, -7.564, -0.14, -0.128, -0.121, -0.001, -0.001]",,,-1.773,-7.564,,,-0.252,-0.14,-0.128,-0.121
9.01,Saturation,,,,"[-0.254, -1.773, -7.566, -0.139, -0.122, -0.118, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.139,-0.122,-0.118
10.02,Saturation,,,,"[-0.254, -1.773, -7.564, -0.129, -0.126, -0.123, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.129,-0.126,-0.123
11.01,Saturation,,,,"[-0.254, -1.773, -7.566, -0.141, -0.126, -0.13, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.141,-0.126,-0.13
12.02,Saturation,,,,"[-0.252, -1.773, -7.564, -0.14, -0.121, -0.115, -0.001, -0.001]",,,-1.773,-7.564,,,-0.252,-0.14,-0.121,-0.115
13.01,Saturation,,,,"[-0.254, -1.773, -7.564, -0.154, -0.136, -0.129, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.154,-0.136,-0.129
14.02,Saturation,,,,"[-0.254, -1.773, -7.564, -0.165, -0.148, -0.144, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.165,-0.148,-0.144
15.01,Saturation,,,,"[-0.252, -1.773, -7.564, -0.155, -0.136, -0.13, -0.001, -0.001]",,,-1.773,-7.564,,,-0.252,-0.155,-0.136,-0.13
16.01,Saturation,,,,"[-0.254, -1.773, -7.566, -0.154, -0.14, -0.141, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.154,-0.14,-0.141
17.02,Saturation,,,,"[-0.254, -1.773, -7.564, -0.159, -0.135, -0.128, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.159,-0.135,-0.128
18.02,Saturation,,,,"[-0.254, -1.773, -7.566, -0.148, -0.125, -0.131, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.148,-0.125,-0.131
19.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.16, -0.136, -0.135, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.16,-0.136,-0.135
20.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.158, -0.143, -0.132, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.158,-0.143,-0.132
21.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.152, -0.132, -0.127, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.152,-0.132,-0.127
22.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.148, -0.137, -0.128, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.148,-0.137,-0.128
23.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.143, -0.128, -0.134, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.143,-0.128,-0.134
24.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.153, -0.134, -0.137, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.153,-0.134,-0.137
